dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,location,lat,lon
220504193.0,2022-01-05,2022-01-01,1.0,5.0,Harbor,555.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 0553 0408 0416,14.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,500 BONITA ST,33.7478,-118.2879
221104178.0,2022-01-05,2022-01-04,1500.0,11.0,Northeast,1169.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0552 0319 1258,12.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,200 S AVENUE 52,34.1046,-118.1981
221304170.0,2022-01-05,2022-01-04,1530.0,13.0,Newton,1324.0,2.0,922.0,CHILD STEALING,0602 0913,33.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,INVEST CONT,922.0,1300 E 22ND ST,34.0216,-118.2531
220500510.0,2022-01-06,2022-01-06,955.0,5.0,Harbor,557.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0553 0400 0913,7.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,600 S CABRILLO AV,33.7388,-118.2946
220105410.0,2022-01-07,2022-01-07,1500.0,1.0,Central,166.0,2.0,814.0,CHILD PORNOGRAPHY,1402 0514 1501,40.0,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,INVEST CONT,814.0,600 WALL ST,34.0435,-118.2471
220204351.0,2022-01-07,2022-01-07,2300.0,2.0,Rampart,237.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1251 1259 0400 0419 0429 0401 0913 0360,17.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,1600 CORTEZ ST,34.0673,-118.2607
221704180.0,2022-01-07,2022-01-07,830.0,17.0,Devonshire,1727.0,1.0,235.0,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1822 0429 1309 1402 0416 1259,14.0,M,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,235.0,TAMPA AV,34.2663,-118.5551
220304264.0,2022-01-07,2022-01-06,1130.0,3.0,Southwest,305.0,2.0,813.0,CHILD ANNOYING (17YRS & UNDER),1822 1259 0529,12.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,INVEST CONT,813.0,2500 W VIEW ST,34.0333,-118.3481
222004252.0,2022-01-07,2022-01-07,400.0,20.0,Olympic,2058.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),1257 0552 0913,0.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,237.0,900 MAGNOLIA AV,34.055,-118.2866
220304335.0,2022-01-08,2022-01-08,1430.0,3.0,Southwest,356.0,1.0,235.0,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,0416 0552 0913 1257 1309,0.0,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,235.0,1600 W JEFFERSON BL,34.0255,-118.3042
221804382.0,2022-01-09,2022-01-09,800.0,18.0,Southeast,1846.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1251 1258 0416 2034 1801 0913,7.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,1200 E 115TH ST,33.9303,-118.2532
221004292.0,2022-01-09,2022-01-09,1715.0,10.0,West Valley,1047.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),1257 0913 0360,2.0,M,O,501.0,SINGLE FAMILY DWELLING,,,AO,ADULT OTHER,237.0,WHITE OAK AV,34.176,-118.5183
220904266.0,2022-01-09,2022-01-08,1120.0,9.0,Van Nuys,933.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1259 0416 0446,16.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,14500 CALVERT ST,34.1816,-118.4487
222004315.0,2022-01-09,2022-01-07,1840.0,20.0,Olympic,2049.0,2.0,922.0,CHILD STEALING,0400 0552 0913 0358 2038,4.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,922.0,2900 FRANCIS AV,34.0568,-118.2891
220204764.0,2022-01-10,2022-01-10,1630.0,2.0,Rampart,211.0,2.0,922.0,CHILD STEALING,0913 0602 0553,0.0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,ADULT OTHER,922.0,600 N ALEXANDRIA AV,34.0812,-118.2981
220204763.0,2022-01-10,2022-01-10,1630.0,2.0,Rampart,211.0,2.0,922.0,CHILD STEALING,0913 0602 0553,0.0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,ADULT OTHER,922.0,600 N ALEXANDRIA AV,34.0812,-118.2981
221604311.0,2022-01-10,2022-01-10,1.0,16.0,Foothill,1693.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 1257,4.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,7700 LAUREL CANYON BL,34.2121,-118.4021
220304382.0,2022-01-10,2022-01-10,30.0,3.0,Southwest,398.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),0552 0913 1258 1309 1240 1310,8.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,INVEST CONT,237.0,HOOVER ST,34.0037,-118.2872
221804492.0,2022-01-10,2022-01-10,1600.0,18.0,Southeast,1826.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 1822 1258 1251,10.0,F,H,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,103RD ST,33.9432,-118.2462
221104354.0,2022-01-11,2022-01-10,1320.0,11.0,Northeast,1138.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),2002 0552,15.0,M,H,501.0,SINGLE FAMILY DWELLING,,,AA,ADULT ARREST,237.0,5900 MESA AV,34.1146,-118.1937
221004382.0,2022-01-11,2022-01-11,1610.0,10.0,West Valley,1023.0,2.0,760.0,LEWD/LASCIVIOUS ACTS WITH CHILD,0528 1402 1257 1822,3.0,F,W,109.0,PARK/PLAYGROUND,,,AO,ADULT OTHER,760.0,6700 WILBUR AV,34.1921,-118.5447
220704353.0,2022-01-11,2022-01-11,1000.0,7.0,Wilshire,734.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),0553 1257 0400,0.0,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,ADULT OTHER,237.0,500 S FULLER AV,34.0657,-118.3542
221004380.0,2022-01-11,2022-01-11,1610.0,10.0,West Valley,1023.0,2.0,760.0,LEWD/LASCIVIOUS ACTS WITH CHILD,1402 1257 1822 0528,6.0,M,H,109.0,PARK/PLAYGROUND,,,AO,ADULT OTHER,760.0,6700 WILBUR AV,34.1921,-118.5447
221204586.0,2022-01-11,2022-01-11,2030.0,12.0,77th Street,1256.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400 0416 0913 1251 0602 0359 0552 1259,17.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,627.0,600 W 73RD ST,33.9737,-118.2844
221004383.0,2022-01-11,2022-01-11,1610.0,10.0,West Valley,1023.0,2.0,760.0,LEWD/LASCIVIOUS ACTS WITH CHILD,1402 1822 1257 0528,0.0,F,W,109.0,PARK/PLAYGROUND,,,AO,ADULT OTHER,760.0,6700 WILBUR AV,34.1921,-118.5447
221000516.0,2022-01-11,2022-01-11,1620.0,10.0,West Valley,1023.0,2.0,760.0,LEWD/LASCIVIOUS ACTS WITH CHILD,1257 0528 1822,0.0,F,H,109.0,PARK/PLAYGROUND,,,AO,ADULT OTHER,760.0,6700 WILBUR AV,34.1921,-118.5447
221404528.0,2022-01-11,2022-01-11,830.0,14.0,Pacific,1455.0,1.0,235.0,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1815 0913 1251 0416 0445 1258 0400 0444,11.0,F,H,720.0,JUNIOR HIGH SCHOOL,302.0,BLUNT INSTRUMENT,IC,INVEST CONT,235.0,12500 BRADDOCK DR,33.9884,-118.4205
221704298.0,2022-01-11,2022-01-09,2000.0,17.0,Devonshire,1721.0,2.0,922.0,CHILD STEALING,0553 1501,34.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,ADULT OTHER,922.0,22300 JAMES ALAN CIR,34.2589,-118.6132
221004381.0,2022-01-12,2022-01-11,1610.0,10.0,West Valley,1023.0,2.0,760.0,LEWD/LASCIVIOUS ACTS WITH CHILD,1402 1822 0528 1257,5.0,M,H,109.0,PARK/PLAYGROUND,,,AO,ADULT OTHER,760.0,6700 WILBUR AV,34.1921,-118.5447
220200509.0,2022-01-12,2022-01-12,1600.0,2.0,Rampart,241.0,1.0,235.0,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,0602 0913 0552 0334 1259 1251 1402 2002,16.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,ADULT ARREST,235.0,400 S OCCIDENTAL BL,34.0659,-118.2834
221304626.0,2022-01-13,2022-01-13,2200.0,13.0,Newton,1326.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),1258 1257 1309 0553 2004 1402 0913,10.0,M,H,101.0,STREET,,,AA,ADULT ARREST,237.0,1300 E ADAMS BL,34.0166,-118.2502
221504495.0,2022-01-13,2022-01-13,110.0,15.0,N Hollywood,1548.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),,11.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,ADULT ARREST,237.0,11000 MAGNOLIA BL,34.1667,-118.3702
220904451.0,2022-01-13,2022-01-13,2000.0,9.0,Van Nuys,904.0,2.0,814.0,CHILD PORNOGRAPHY,1258 1901 1402,10.0,F,H,710.0,OTHER PREMISE,,,IC,INVEST CONT,814.0,7900 N SEPULVEDA BL,34.2141,-118.4662
220504428.0,2022-01-13,2022-01-13,1930.0,5.0,Harbor,526.0,2.0,813.0,CHILD ANNOYING (17YRS & UNDER),0319 0531 1258 1822,11.0,M,H,101.0,STREET,,,IC,INVEST CONT,813.0,800 N FRIES AV,33.7798,-118.2649
221304662.0,2022-01-14,2022-01-14,1600.0,13.0,Newton,1325.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1259 1251 0913 0416,14.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,1200 E 25TH ST,34.0186,-118.2519
221904524.0,2022-01-14,2022-01-14,2145.0,19.0,Mission,1985.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400 0556 0913 1259,13.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,627.0,14600 RAYEN ST,34.2317,-118.4502
220400511.0,2022-01-14,2022-01-13,100.0,4.0,Hollenbeck,456.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400 0913 1258 0553 0445 1402,7.0,M,H,501.0,SINGLE FAMILY DWELLING,301.0,BELT FLAILING INSTRUMENT/CHAIN,AO,ADULT OTHER,627.0,2400 FAIRMOUNT ST,34.0521,-118.2045
220204563.0,2022-01-14,2022-01-08,1200.0,2.0,Rampart,233.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0416 0400 0913 0602 0552 0445 1251,13.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,100 S LA FAYETTE PARK PL,34.0703,-118.2786
222104486.0,2022-01-15,2022-01-15,2000.0,21.0,Topanga,2136.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416,8.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,627.0,7500 VARIEL AV,34.2047,-118.5994
221304693.0,2022-01-15,2022-01-15,2000.0,13.0,Newton,1383.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 1240 0416 0446 0552 0216,13.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,5900 S LOS ANGELES ST,33.9879,-118.2705
221304717.0,2022-01-15,2022-01-15,2355.0,13.0,Newton,1373.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0553 0913 0416 1258 0447 0557,13.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,1000 E 52ND PL,33.995,-118.2581
220204621.0,2022-01-16,2022-01-16,125.0,2.0,Rampart,237.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),0602 0913 0552 2002 1257,4.0,M,H,102.0,SIDEWALK,,,AA,ADULT ARREST,237.0,3RD,34.0594,-118.2643
221004526.0,2022-01-16,2022-01-16,745.0,10.0,West Valley,1063.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 1259 0913 1402 0400 1414 1310 0602 0552,15.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,18600 VENTURA BL,34.1698,-118.5386
220704608.0,2022-01-17,2022-01-17,1350.0,7.0,Wilshire,789.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 1259,16.0,F,B,119.0,"PORCH, RESIDENTIAL",212.0,BOTTLE,AO,ADULT OTHER,627.0,1900 5TH AV,34.0399,-118.3225
220304776.0,2022-01-18,2022-01-18,1900.0,3.0,Southwest,377.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1259 0319 0443 0432 0444 1822,15.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,1200 W 38TH ST,34.0173,-118.2973
221200527.0,2022-01-18,2022-01-15,230.0,12.0,77th Street,1241.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 1251 0913 0553 0400 0416,5.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,627.0,6300 BRYNHURST AV,33.9829,-118.3338
221904840.0,2022-01-18,2022-01-14,1600.0,19.0,Mission,1918.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0553 1258,9.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",301.0,BELT FLAILING INSTRUMENT/CHAIN,AO,ADULT OTHER,627.0,13900 SAYRE ST,34.308,-118.4362
221304801.0,2022-01-18,2022-01-18,1745.0,13.0,Newton,1383.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0444 0913 0446 0553 1258,11.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,200 E 62ND ST,33.9833,-118.2718
220504573.0,2022-01-18,2022-01-16,1745.0,5.0,Harbor,509.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1259 0552 0913 0602 0444,17.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,25000 FRAMPTON AV,33.8016,-118.3042
221504689.0,2022-01-18,2022-01-18,1337.0,15.0,N Hollywood,1535.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1257,5.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,627.0,11600 HATTERAS ST,34.1758,-118.3845
220704631.0,2022-01-18,2022-01-15,900.0,7.0,Wilshire,788.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0400,3.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,4000 W 21ST ST,34.0373,-118.3279
220304843.0,2022-01-20,2022-01-17,1400.0,3.0,Southwest,356.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 0416 0445 0449 0553 1258 1251,6.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,1400 W 36TH ST,34.0228,-118.3002
222004779.0,2022-01-20,2022-01-20,1720.0,20.0,Olympic,2069.0,2.0,237.0,CHILD NEGLECT (SEE 300 W.I.C.),0553 1257,0.0,M,B,101.0,STREET,,,AA,ADULT ARREST,237.0,VERMONT,34.0508,-118.2916
220504741.0,2022-01-21,2022-01-17,2000.0,5.0,Harbor,504.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0602 0913 1259 0416 0444 0429 0553,14.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,ADULT OTHER,627.0,1600 W 208TH ST,33.8419,-118.3066
220504734.0,2022-01-21,2022-01-21,830.0,5.0,Harbor,509.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0400 0416,11.0,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,24800 FRAMPTON AV,33.7987,-118.2992
220904729.0,2022-01-21,2022-01-20,1900.0,9.0,Van Nuys,901.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400 0553 1259 0416,15.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,ADULT ARREST,627.0,7500 N SEPULVEDA BL,34.2085,-118.4698
220504733.0,2022-01-21,2022-01-21,830.0,5.0,Harbor,509.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0602 0913 0552 1258 0400 0416,13.0,M,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,INVEST CONT,627.0,24800 FRAMPTON AV,33.7987,-118.2992
220100515.0,2022-01-21,2022-01-21,1730.0,1.0,Central,182.0,2.0,870.0,CHILD ABANDONMENT,1258,13.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,INVEST CONT,870.0,1000 S HOPE ST,34.0437,-118.2617
221904752.0,2022-01-21,2022-01-21,755.0,19.0,Mission,1983.0,2.0,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0552 1257,4.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",301.0,BELT FLAILING INSTRUMENT/CHAIN,AO,ADULT OTHER,627.0,15100 PARTHENIA ST,34.2282,-118.4611
220204879.0,2022-01-22,2022-01-22,1015.0,2.0,Rampart,212.0,1.0,235.0,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1257 0552 0602 0913 0408,4.0,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,ADULT ARREST,235.0,600 N VIRGIL AV,34.0818,-118.2868
